FIX
1.0	0.000	0.000	0.000
TRIP
DATE 2009-06-27 
DECLINATION     0.00
DATA
1.46		173.70	-20.38	10.754	<
1.46		200.39	-4.68	5.354	<
1.46		224.12	7.78	3.829	<
1.46		160.05	-28.56	17.220	<
1.46		114.26	74.81	4.411	<
1.46	1.47	142.86	-26.70	21.438	<
1.47		257.56	20.12	8.457	<
1.47		269.85	22.52	10.123	<
1.47		59.66	2.74	7.117	<
1.47		105.87	-0.68	13.392	<
1.47		130.74	-6.80	20.501	<
1.47		179.62	-4.70	12.774	<
1.47		142.40	82.29	34.545	<
1.47		170.26	-4.36	28.339	<
1.46	1.48	190.61	-22.84	2.063	<
1.48		318.06	35.31	3.782	<
1.48		316.99	31.75	3.805	<
1.48		281.34	31.74	4.731	<
1.48	1.49	302.66	29.72	6.045	<
1.49	1.50	283.25	-28.76	4.901	<
1.50		55.72	6.32	1.090	<
1.50		33.10	83.57	3.368	<
1.50		1.55	82.70	4.648	<
1.50		70.60	-74.07	1.503	<
1.50		111.00	-13.12	2.206	<
1.50	1.51	351.59	30.11	3.344	<
1.51		226.18	-6.36	1.174	<
1.51		82.74	-82.62	1.232	<
1.51		230.42	83.62	2.358	<
1.51	1.52	296.57	-27.60	7.648	<
1.52		210.19	2.04	0.758	<
1.52		112.12	-83.43	1.161	<
1.52		270.87	74.18	5.327	<
1.52	1.53	296.42	-24.58	5.745	<
1.33		350.32	9.73	0.609	<
1.33		340.35	68.87	1.155	<
1.33		2.69	-62.72	0.557	<
1.33	1.54	15.39	27.98	1.575	<
1.54		162.01	-0.14	0.405	<
1.54		127.50	-80.44	0.653	<
1.54		136.66	80.30	1.453	<
1.54	1.55	90.95	7.17	1.339	<
1.55		230.11	5.79	0.942	<
1.55	1.56	192.70	23.30	2.040	<
1.56		65.57	6.24	0.423	<
1.56		11.04	86.40	0.665	<
1.56		95.01	-75.16	0.223	<
1.56	1.57	116.64	-25.29	1.919	<
1.57		210.44	0.36	0.484	<
1.57		181.88	-75.73	0.248	<
1.57		212.20	80.56	0.584	<
1.57	1.58	170.72	18.39	2.000	<
1.58		36.79	-1.20	0.431	<
1.58		129.81	-84.40	0.240	<
1.58		57.18	63.65	0.574	<
1.58	1.59	106.19	9.88	2.115	<
1.59		355.99	1.20	0.429	<
1.59		14.44	-80.93	0.432	<
1.59		341.86	76.70	1.061	<
1.59	1.60	106.99	33.92	1.299	<
1.60		9.49	-1.02	0.394	<
1.60		354.78	63.92	0.799	<
1.60		31.01	-71.79	0.627	<
